sheldule(static): N=880 | sum=146.978931 Milliseconds passsed: 18
sheldule(static): N=2792 | sum=441.060002 Milliseconds passsed: 158
sheldule(static): N=4704 | sum=766.591418 Milliseconds passsed: 448
sheldule(static): N=6616 | sum=1077.176143 Milliseconds passsed: 898
sheldule(static): N=8528 | sum=1387.787253 Milliseconds passsed: 1349
sheldule(static): N=10440 | sum=1671.594285 Milliseconds passsed: 1909
sheldule(static): N=12352 | sum=1920.079921 Milliseconds passsed: 2615
sheldule(static): N=14264 | sum=2244.697287 Milliseconds passsed: 3491
sheldule(static): N=16176 | sum=2624.741667 Milliseconds passsed: 4583
sheldule(static): N=18088 | sum=2903.982019 Milliseconds passsed: 5537
sheldule(static): N=20000 | sum=3234.264159 Milliseconds passsed: 7177
sheldule(static): N=880 | sum=146.978931 Milliseconds passsed: 128
sheldule(static): N=2792 | sum=441.060002 Milliseconds passsed: 169
sheldule(static): N=4704 | sum=766.591418 Milliseconds passsed: 516
sheldule(static): N=6616 | sum=1077.176143 Milliseconds passsed: 976
sheldule(static): N=8528 | sum=1387.787253 Milliseconds passsed: 1363
sheldule(static): N=10440 | sum=1671.594285 Milliseconds passsed: 1937
sheldule(static): N=12352 | sum=1920.079921 Milliseconds passsed: 2698
sheldule(static): N=14264 | sum=2244.697287 Milliseconds passsed: 3589
sheldule(static): N=16176 | sum=2624.741667 Milliseconds passsed: 4788
sheldule(static): N=18088 | sum=2903.982019 Milliseconds passsed: 5876
sheldule(static): N=20000 | sum=3234.264159 Milliseconds passsed: 7068
sheldule(static): N=880 | sum=146.978931 Milliseconds passsed: 19
sheldule(static): N=2792 | sum=441.060002 Milliseconds passsed: 161
sheldule(static): N=4704 | sum=766.591418 Milliseconds passsed: 449
sheldule(static): N=6616 | sum=1077.176143 Milliseconds passsed: 1049
sheldule(static): N=8528 | sum=1387.787253 Milliseconds passsed: 1478
sheldule(static): N=10440 | sum=1671.594285 Milliseconds passsed: 2041
sheldule(static): N=12352 | sum=1920.079921 Milliseconds passsed: 2756
sheldule(static): N=14264 | sum=2244.697287 Milliseconds passsed: 3478
sheldule(static): N=16176 | sum=2624.741667 Milliseconds passsed: 4435
sheldule(static): N=18088 | sum=2903.982019 Milliseconds passsed: 5554
sheldule(static): N=20000 | sum=3234.264159 Milliseconds passsed: 6774
