sheldule(static): N=880 | sum=146.978931 Milliseconds passsed: 19
sheldule(static): N=2792 | sum=441.060002 Milliseconds passsed: 157
sheldule(static): N=4704 | sum=766.591418 Milliseconds passsed: 439
sheldule(static): N=6616 | sum=1077.176143 Milliseconds passsed: 882
sheldule(static): N=8528 | sum=1387.787253 Milliseconds passsed: 1333
sheldule(static): N=10440 | sum=1671.594285 Milliseconds passsed: 1886
sheldule(static): N=12352 | sum=1920.079921 Milliseconds passsed: 2589
sheldule(static): N=14264 | sum=2244.697287 Milliseconds passsed: 3417
sheldule(static): N=16176 | sum=2624.741667 Milliseconds passsed: 4378
sheldule(static): N=18088 | sum=2903.982019 Milliseconds passsed: 5504
sheldule(static): N=20000 | sum=3234.264159 Milliseconds passsed: 6828
sheldule(static): N=880 | sum=146.978931 Milliseconds passsed: 20
sheldule(static): N=2792 | sum=441.060002 Milliseconds passsed: 270
sheldule(static): N=4704 | sum=766.591418 Milliseconds passsed: 451
sheldule(static): N=6616 | sum=1077.176143 Milliseconds passsed: 1141
sheldule(static): N=8528 | sum=1387.787253 Milliseconds passsed: 1413
sheldule(static): N=10440 | sum=1671.594285 Milliseconds passsed: 1999
sheldule(static): N=12352 | sum=1920.079921 Milliseconds passsed: 2675
sheldule(static): N=14264 | sum=2244.697287 Milliseconds passsed: 3576
sheldule(static): N=16176 | sum=2624.741667 Milliseconds passsed: 4497
sheldule(static): N=18088 | sum=2903.982019 Milliseconds passsed: 5659
sheldule(static): N=20000 | sum=3234.264159 Milliseconds passsed: 6852
sheldule(static): N=880 | sum=146.978931 Milliseconds passsed: 20
sheldule(static): N=2792 | sum=441.060002 Milliseconds passsed: 157
sheldule(static): N=4704 | sum=766.591418 Milliseconds passsed: 472
sheldule(static): N=6616 | sum=1077.176143 Milliseconds passsed: 1056
sheldule(static): N=8528 | sum=1387.787253 Milliseconds passsed: 1380
sheldule(static): N=10440 | sum=1671.594285 Milliseconds passsed: 1985
sheldule(static): N=12352 | sum=1920.079921 Milliseconds passsed: 2674
sheldule(static): N=14264 | sum=2244.697287 Milliseconds passsed: 3530
sheldule(static): N=16176 | sum=2624.741667 Milliseconds passsed: 4511
sheldule(static): N=18088 | sum=2903.982019 Milliseconds passsed: 5615
sheldule(static): N=20000 | sum=3234.264159 Milliseconds passsed: 6963
