sheldule(static): N=880 | sum=146.978931 Milliseconds passsed: 20
sheldule(static): N=2792 | sum=441.060002 Milliseconds passsed: 159
sheldule(static): N=4704 | sum=766.591418 Milliseconds passsed: 437
sheldule(static): N=6616 | sum=1077.176143 Milliseconds passsed: 898
sheldule(static): N=8528 | sum=1387.787253 Milliseconds passsed: 1329
sheldule(static): N=10440 | sum=1671.594285 Milliseconds passsed: 1899
sheldule(static): N=12352 | sum=1920.079921 Milliseconds passsed: 2619
sheldule(static): N=14264 | sum=2244.697287 Milliseconds passsed: 3465
sheldule(static): N=16176 | sum=2624.741667 Milliseconds passsed: 4347
sheldule(static): N=18088 | sum=2903.982019 Milliseconds passsed: 5421
sheldule(static): N=20000 | sum=3234.264159 Milliseconds passsed: 6629
sheldule(static): N=880 | sum=146.978931 Milliseconds passsed: 19
sheldule(static): N=2792 | sum=441.060002 Milliseconds passsed: 180
sheldule(static): N=4704 | sum=766.591418 Milliseconds passsed: 460
sheldule(static): N=6616 | sum=1077.176143 Milliseconds passsed: 1083
sheldule(static): N=8528 | sum=1387.787253 Milliseconds passsed: 1345
sheldule(static): N=10440 | sum=1671.594285 Milliseconds passsed: 1954
sheldule(static): N=12352 | sum=1920.079921 Milliseconds passsed: 2687
sheldule(static): N=14264 | sum=2244.697287 Milliseconds passsed: 3499
sheldule(static): N=16176 | sum=2624.741667 Milliseconds passsed: 4597
sheldule(static): N=18088 | sum=2903.982019 Milliseconds passsed: 5629
sheldule(static): N=20000 | sum=3234.264159 Milliseconds passsed: 6772
